,accuracy,loss,val_accuracy,val_loss
0,0.7322037220001221,5.869328498840332,0.8083333373069763,4.8662261962890625
1,0.8133147954940796,4.214546203613281,0.8245000243186951,3.6324167251586914
2,0.8256111145019531,3.179717779159546,0.8276666402816772,2.7719225883483887
3,0.8297777771949768,2.450077533721924,0.8378333449363708,2.1535370349884033
4,0.8341110944747925,1.9301071166992188,0.8383333086967468,1.7191987037658691
5,0.8352407217025757,1.558547019958496,0.8433333039283752,1.4063595533370972
6,0.8389258980751038,1.2924574613571167,0.8424999713897705,1.1845625638961792
7,0.8418333530426025,1.1020511388778687,0.8483333587646484,1.0168967247009277
8,0.8415740728378296,0.9645045399665833,0.8379999995231628,0.9222076535224915
9,0.8433518409729004,0.8649758100509644,0.8464999794960022,0.8189343214035034
10,0.8432592749595642,0.7929651141166687,0.8461666703224182,0.7620286345481873
11,0.8446666598320007,0.740600049495697,0.8508333563804626,0.7150430679321289
12,0.8469259142875671,0.7016101479530334,0.8323333263397217,0.7092012763023376
13,0.8470925688743591,0.6730068922042847,0.8503333330154419,0.6598698496818542
14,0.8486296534538269,0.6506209969520569,0.8431666493415833,0.6472663283348083
15,0.8489444255828857,0.6344636082649231,0.8523333072662354,0.6245048642158508
16,0.8495000004768372,0.6212145090103149,0.8506666421890259,0.6161317229270935
17,0.8507221937179565,0.6109064817428589,0.8496666550636292,0.6072826385498047
18,0.8518703579902649,0.603006899356842,0.843833327293396,0.6170116662979126
19,0.8519814610481262,0.5970225930213928,0.8503333330154419,0.6039040684700012
20,0.8526666760444641,0.5909069180488586,0.8423333168029785,0.6185431480407715
21,0.8527407646179199,0.5863726735115051,0.8541666865348816,0.5902661681175232
22,0.8546481728553772,0.5818296670913696,0.847000002861023,0.5979758501052856
23,0.8547592759132385,0.5783799290657043,0.8569999933242798,0.5758230686187744
24,0.8554815053939819,0.5759268999099731,0.8576666712760925,0.5689272284507751
25,0.8547777533531189,0.5727084875106812,0.8588333129882812,0.568743884563446
26,0.856759250164032,0.569078803062439,0.8571666479110718,0.5708708763122559
27,0.8568703532218933,0.5661249756813049,0.8543333411216736,0.5716944336891174
28,0.8571666479110718,0.5638235807418823,0.8586666584014893,0.5629782676696777
29,0.8558148145675659,0.5616897344589233,0.8511666655540466,0.571366548538208
