,accuracy,loss,val_accuracy,val_loss
0,0.7597963213920593,0.7212696671485901,0.8075000047683716,0.5609416365623474
1,0.8223703503608704,0.5193381905555725,0.8336666822433472,0.49094951152801514
2,0.8346481323242188,0.48126691579818726,0.8330000042915344,0.4811020493507385
3,0.8406481742858887,0.46152740716934204,0.8473333120346069,0.451824426651001
4,0.8457962870597839,0.44805628061294556,0.8473333120346069,0.4465644955635071
5,0.847944438457489,0.4385238289833069,0.8456666469573975,0.4488242268562317
6,0.8500000238418579,0.43177956342697144,0.8541666865348816,0.433479368686676
7,0.8523518443107605,0.42557114362716675,0.8501666784286499,0.44168323278427124
8,0.8551481366157532,0.4211268424987793,0.8424999713897705,0.44744768738746643
9,0.8552407622337341,0.41742539405822754,0.8539999723434448,0.4245409667491913
10,0.8566111326217651,0.41355758905410767,0.8568333387374878,0.42285895347595215
11,0.8571851849555969,0.4109826683998108,0.8551666736602783,0.4202614724636078
12,0.8586666584014893,0.4074854552745819,0.846833348274231,0.4320206344127655
13,0.8588703870773315,0.4053628146648407,0.8571666479110718,0.4183034300804138
14,0.8593888878822327,0.40322282910346985,0.8521666526794434,0.4222915768623352
15,0.8613333106040955,0.40079614520072937,0.843999981880188,0.44356900453567505
16,0.8625925779342651,0.39914509654045105,0.8495000004768372,0.42646801471710205
17,0.8618888854980469,0.3976641595363617,0.8585000038146973,0.4258163273334503
18,0.8616851568222046,0.39681658148765564,0.8525000214576721,0.42981651425361633
19,0.8623889088630676,0.3949444591999054,0.8571666479110718,0.4191521406173706
20,0.8640740513801575,0.39322882890701294,0.843999981880188,0.4345555007457733
21,0.8626852035522461,0.3922334611415863,0.8554999828338623,0.4179854393005371
22,0.8631851673126221,0.39065223932266235,0.8544999957084656,0.43131759762763977
23,0.8651852011680603,0.38993117213249207,0.8560000061988831,0.4175776243209839
24,0.8637222051620483,0.38911381363868713,0.8504999876022339,0.41726553440093994
25,0.8640740513801575,0.388004332780838,0.8546666502952576,0.4225276708602905
26,0.864481508731842,0.3874657452106476,0.8539999723434448,0.4157254993915558
27,0.8652777671813965,0.38611137866973877,0.8548333048820496,0.4154324233531952
28,0.8656481504440308,0.3851015269756317,0.8501666784286499,0.4198760688304901
29,0.8667592406272888,0.3842170834541321,0.8571666479110718,0.4148902893066406
